Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Хмара,Зорян,Богданович,Чоловік,1981-03-07,Антрополог,хутір Карлівка,"парк Калнишевського Петра, буд. 47, Красноперекопськ, 04589",007 207-37-90,violettashtepa@example.org
Вернидуб,Любов,Володимирівна,Жінка,1972-10-14,Сантехнік,місто Першотравенськ,"сквер Історія Футболу, буд. 3, Вознесенськ, 53945",618-56-77,odarkarubets@example.com
Шухевич,Єлисей,Іванович,Чоловік,1987-09-27,Дантист,селище Комарно,"узвіз Амундсена, 3-й, буд. 114 кв. 029, Джанкой, 35759",+380 93 982-77-85,alevtynvitruk@example.net
Твердохліб,Леонід,Іванович,Чоловік,1939-11-29,Будник,селище Першотравенськ,"провулок Перлинна, буд. 62, Хуст, 60741",018 843 79 31,iakymenkonestor@example.org
Ісаєнко,Віолетта,Богданівна,Жінка,1965-08-02,Бібліотекар,селище Кодима,"набережна Парковий, буд. 7, Житомир, 03808",720 48 34,artiukhkamilla@example.net
Величко,Остап,Сергійович,Чоловік,1973-06-15,Агроном,місто Вижниця,"площа Морський 2-й, буд. 8 кв. 2, Рубіжне, 55829",019 226 53 96,bazavluchenkoborys@example.org
Гук,Леон,Володимирович,Чоловік,1949-05-04,Музикант,місто Хотин,"парк Амбулаторний, буд. 86, Борислав, 95735",+380 (25) 265-91-64,zakharvdovychenko@example.net
Юрчук,Богуслав,Олександрович,Чоловік,1990-07-26,Льотчик,хутір Болград,"проспект Офіцерський 2-й, буд. 6 кв. 158, Олешки, 84543",+380 69 687-12-29,anastasiia94@example.net
Дергач,Захар,Сергійович,Чоловік,2003-05-31,Реабілітолог,селище Щолкіне,"узвіз Джутовий, буд. 481 кв. 094, Синельникове, 42089",000 543-39-79,shtokalohennadii@example.com
Артюшенко,Нестор,Сергійович,Чоловік,1963-04-29,Сценарист,місто Заставна,"шосе Деревообробна, буд. 380, Хрестівка, 90582",047 606 47 71,gandriienko@example.net
Самойленко,Ярослав,Андрійович,Чоловік,2008-06-29,Графік,місто Буськ,"парк Дачний 2-й, буд. 73 кв. 11, Івано-Франківськ, 39894",383-65-75,knosachenko@example.org
Байдак,Віктор,Володимирович,Чоловік,1956-07-09,Кіноактор,село Ворожба,"парк Балтський 4-й, буд. 83, Генічеськ, 86221",+380 (15) 987-87-19,lchala@example.com
Артюх,Ада,Андріївна,Жінка,2003-03-28,Кінорежисер,місто Маріуполь,"вулиця Лінія 55-та, буд. 0 кв. 005, Горішні Плавні, 79731",554-27-67,gkyrylenko@example.org
Ільченко,Нестор,Олександрович,Чоловік,1941-01-01,Психолог,село Голубівка,"узвіз Восьмого Березня Лінія 2-га, буд. 602, Снігурівка, 01419",949 07 66,pavloandreiko@example.com
Медведенко,Олександр,Андрійович,Чоловік,2007-06-07,Ветеринар,село Добропілля,"проспект Мала, буд. 00 кв. 91, Городенка, 95852",153-28-62,tarasustenko@example.com
Іванченко,Ростислав,Петрович,Чоловік,1962-04-18,Шериф,село Вільногірськ,"набережна Лінія 33-тя, буд. 144, Дунаївці, 53539",068 317-67-37,tverdokhlibopanas@example.com
Стус,Ада,Олександрівна,Жінка,1974-02-03,Режисер,хутір Городище ,"сквер Матеріальний 1-й, буд. 5 кв. 6, Судак , 48864",060 239-94-04,borys18@example.net
Швачко,Станіслав,Юрійович,Чоловік,2000-06-29,Електрик,селище Яремче,"вулиця Ольгіївський узвіз, буд. 69, Федорівка, 20109",848 95 27,liubov37@example.org
Ващук,Орися,Миколаївна,Жінка,1947-01-15,Кінолог,місто Українка ,"сквер Ангарська, буд. 018, Вилкове, 38461",305 90 53,arsen77@example.org
Дробʼязко,Святослав,Богданович,Чоловік,1947-11-18,Кінорежисер,селище Первомайський ,"набережна Ляпідевського, буд. 74 кв. 238, Алчевськ, 02611",400 92 03,ada84@example.com
Годунок,Мирон,Іванович,Чоловік,1959-07-30,Дипломат,село Хмільник,"набережна Сталепрокатна, буд. 09 кв. 217, Зміїв, 78461",195 38 32,kholoborodko@example.org
Носаченко,Оксенія,Богданівна,Жінка,2001-05-17,Піаніст,місто Белз,"узвіз Тираспольська, буд. 282, Красногорівка, 37471",+380 04 614 88 48,orysia34@example.com
Забарний,Августин,Михайлович,Чоловік,1975-03-14,Флорист,місто Бердичів,"шосе Гена Іоганна, буд. 934 кв. 37, Тисмениця, 17468",055 744-52-06,roksolana76@example.net
Рябовіл,Ярема,Петрович,Чоловік,2004-04-15,Провізор,селище Вижниця,"провулок 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 9, Первомайськ, 03497",899 33 17,khohol@example.com
Батюк,Герман,Миколайович,Чоловік,1980-10-14,Дизайнер,хутір Бахчисарай,"парк Шолохова, буд. 923 кв. 97, Сулимівка (Слов'янськ), 13870",062 077 86 35,zcherednyk@example.com
Демʼяненко,Оксана,Олександрівна,Жінка,1998-03-19,М'ясник,село Щастя ,"провулок Кутова, буд. 1, Липовець, 63593",771 45 57,ielyseieibozhenko@example.com
Ємельяненко,Прохір,Михайлович,Чоловік,1982-11-15,Фармацевт,місто Лубни,"узвіз Академіка Воробйова, буд. 545 кв. 86, Шахтарськ, 29748",065 275 82 80,babakandrii@example.com
Гайворонський,Антон,Юрійович,Чоловік,2007-03-14,Соціолог,селище Яремче,"набережна Зоряна, буд. 19, Кальміуське, 76312",+380 (38) 124-45-53,solomon71@example.org
Верховинець,Златослава,Михайлівна,Жінка,1942-03-21,Кінорежисер,село Армянськ,"проспект Мічманський 2-й, буд. 8, Красноград, 78322",042 231 71 97,rkovpak@example.com
Оберемко,Артем,Сергійович,Чоловік,1978-04-20,Сценарист,селище Сорокине,"шосе Нафтовиків 3-й, буд. 8 кв. 863, Шахтарськ, 49222",+380 25 331 32 96,syrotenkomariia@example.org
Самойленко,Климент,Андрійович,Чоловік,1986-08-31,Ветеринар,село Запоріжжя,"проспект Ольгіївська, буд. 30 кв. 7, Жовква, 98086",929-49-44,volodymyra40@example.net
Мазепа,Олесь,Михайлович,Чоловік,1940-11-25,Письменник,село Новодністровськ,"сквер Подільська, буд. 69, Бобровиця, 29384",+380 56 772-14-77,olena56@example.com
Вовк,Алевтин,Андрійович,Чоловік,2004-02-23,Круп'є,селище Сторожинець,"набережна Неплія, буд. 2, Боково-Хрустальне, 09009",092 654-35-66,teodorivashchenko@example.net
Верменич,Геннадій,Андрійович,Чоловік,1956-01-22,Дерун,село Берестечко,"шосе Картамишевська, буд. 680, Добропілля, 02619",620 71 71,iukhym34@example.org
Козак,Вікторія,Андріївна,Жінка,1956-01-27,Кіноактор,село Святогірськ,"шосе Новобазарний, буд. 9, Дергачі, 07326",084 182 50 03,serhiiriabchenko@example.org
Яремко,Соломія,Миколаївна,Жінка,1990-08-28,Машиніст,хутір Копичинці,"парк Листяна, буд. 7, Коростень, 31419",+380 33 325-20-39,olifirenkoanzhela@example.net
Гайдабура,Марта,Миколаївна,Жінка,1974-04-21,Мірошник,хутір Часів Яр,"провулок Утьосова, буд. 05, Буськ, 03695",+380 35 818 30 28,ybabko@example.org
Макаренко,Веніямин,Богданович,Чоловік,2001-08-28,Історик,хутір Устилуг,"площа Травневий 2-й, буд. 42, Мена , 93275",+380 36 657-63-26,wdrozd@example.org
Талан,Нестор,Михайлович,Чоловік,1955-07-31,Каскадер,хутір Мерефа,"шосе Короленка, буд. 334, Гадяч, 96857",+380 61 258-99-59,valentynivanenko@example.net
Тимчук,Світлана,Андріївна,Жінка,1996-11-28,Режисер,селище Гуляйполе,"шосе Миколи Огренича, буд. 6 кв. 88, Свалява, 38701",098 311-70-24,lemeshkoliubov@example.org
Якимчук,Богуслава,Володимирівна,Жінка,1990-05-21,Інженер,хутір Золочів,"провулок Кропивницького, буд. 7 кв. 234, Андрушівка, 11437",+380 83 151 15 31,veresiaroslava@example.org
Атаманюк,Борислав,Сергійович,Чоловік,1974-03-16,Редактор,хутір Бахмут,"сквер 9-та Суворовська, буд. 474 кв. 4, Дубровиця, 15460",032 049 52 94,spas63@example.net
Остапчук,Августин,Володимирович,Чоловік,1963-01-23,Доцент,місто Путивль,"шосе Цимлянська, буд. 63 кв. 90, Погребище, 03421",+380 62 118-91-50,borys95@example.org
Редько,Аврелій,Сергійович,Чоловік,1976-04-21,Няня,місто Новогродівка,"проспект Східчастий 4-й, буд. 5 кв. 115, Луцьк, 99186",090 438 86 52,iustynadanyliuk@example.com
Дробʼязко,Святослав,Іванович,Чоловік,1950-08-14,Прокурор,хутір Малин,"узвіз Кифоренка Бориса, буд. 9 кв. 3, Козятин, 70349",055 714-95-52,varfolomii06@example.org
Верменич,Роксолана,Сергіївна,Жінка,1947-11-30,Гірничий інженер,селище Почаїв,"сквер Данькевича, буд. 200, Вашківці, 84747",075 137-47-19,ostapderiazhna@example.net
Єременко,Богдан,Олександрович,Чоловік,1963-04-27,Ювелір,місто Болград,"набережна Восьмого Березня Лінія 1-ша, буд. 5 кв. 7, Волноваха, 41307",+380 00 693 05 96,turkaloklavdiia@example.net
Деревʼянко,Алла,Андріївна,Жінка,1975-07-25,Хореограф,селище Остер ,"вулиця Лінія 24-та, буд. 967, Ананьїв, 02474",+380 09 764-08-03,okhrim26@example.net
Рудик,Франц,Володимирович,Чоловік,1998-03-09,Астроном,селище Приморськ (Україна),"узвіз Чапаєва, буд. 348 кв. 815, Тячів, 33907",031 902 98 26,maksymkalchenko@example.com
Затула,Одарка,Володимирівна,Жінка,2005-05-02,Краєзнавець,місто Каховка,"набережна Олександра Кутузакія, буд. 11, Вознесенськ, 53260",029 507-77-62,leopold83@example.org
Охріменко,Валентин,Михайлович,Чоловік,1963-05-21,Різноробочий,селище Перемишляни,"площа Рибальський, буд. 86, Нововолинськ, 42683",055 054 66 23,rdankevych@example.net
Матвієнко,Дарина,Михайлівна,Жінка,1948-01-28,Біолог,місто Слов'янськ,"проспект 8-ма Лінія Дачі Ковалевського, буд. 355 кв. 4, Сєвєродонецьк, 92269",062 426 87 80,hryhoriidemianenko@example.net
Дашенко,Геннадій,Олександрович,Чоловік,1948-04-19,Пілот,селище Ворожба,"проспект Бузковий 2-й, буд. 307 кв. 127, Зоринськ, 68244",070 296 85 25,tereshchenkosymon@example.org
Бездітко,Емілія,Володимирівна,Жінка,1967-01-28,Ґрунтознавець,село Переяслав,"парк Тополина, буд. 28 кв. 766, Тисмениця, 99005",038 960 68 63,pavlo42@example.org
Власюк,Омелян,Миколайович,Чоловік,1974-09-18,Гінеколог,селище Суходільськ,"проспект Проточний, буд. 9, Тлумач, 92559",517-64-49,gvasylenko@example.net
Артеменко,Василина,Юріївна,Жінка,1982-02-16,Історик,місто Шахтарськ,"вулиця Шостої 1-й, буд. 259, Новодружеськ, 41652",945-93-16,shynkarenkomykolai@example.net
Парасюк,Олена,Михайлівна,Жінка,1953-08-06,Швачка,селище Чоп,"шосе Курортний, буд. 021, Олександрія, 07322",028 914-11-20,vvelychko@example.com
Короленко,Тарас,Петрович,Чоловік,1973-11-11,Адвокат,хутір Нова Каховка,"провулок Черепанових, буд. 55 кв. 883, Броди, 69566",064 975 59 03,slupii@example.com
Скоробогатько,Єлисей,Іванович,Чоловік,1943-02-16,Гірничий інженер,хутір Полтава,"провулок Юхима Геллера, буд. 505, Теребовля, 57448",294-96-99,vovsiienko@example.net
Жайворон,Симон,Миколайович,Чоловік,2004-09-20,Клоун,місто Верхньодніпровськ,"сквер Жуковського, буд. 785 кв. 623, Вижниця, 98906",+380 (79) 951-43-28,kkhorishko@example.net
Опанасенко,Станіслав,Михайлович,Чоловік,1978-03-28,Педагог,хутір Олександрія,"площа Толбухіна, буд. 243, Виноградів, 21176",022 072 43 17,larysa12@example.org
Павлик,Вадим,Миколайович,Чоловік,1967-03-14,Паблік рилейшнз,хутір Нова Одеса,"вулиця Угорська, буд. 8, Золоте, 56540",+380 (98) 927-56-17,barantetiana@example.com
Архимович,Богуслав,Миколайович,Чоловік,2006-10-23,Різноробочий,село Ананьїв,"узвіз Камишова, буд. 53, Новомиргород, 65972",+380 45 980-42-71,korolenkomyroslav@example.com
Дрозд,Софія,Сергіївна,Жінка,1938-12-08,Мінералог,місто Боково-Хрустальне,"вулиця Керченська, буд. 197 кв. 634, Кипуче, 48739",+380 85 123 45 61,panteleimonnesterenko@example.org
Бабенко,Сергій,Іванович,Чоловік,1969-05-23,Модельєр,місто Новодружеськ,"провулок Планетна, буд. 625, Бурштин , 45169",+380 87 596-35-13,hryhoriivakhnii@example.com
Іващенко,Франц,Олександрович,Чоловік,1952-01-07,Епідеміолог,хутір Добромиль,"шосе Данькевича, буд. 0, Могилів-Подільський, 68448",+380 49 460-71-64,bsemenchenko@example.org
Гунько,Олександр,Володимирович,Чоловік,1981-01-04,Епідеміолог,хутір Кам'янка (Черкаська область),"узвіз Мигдальна, буд. 6 кв. 818, Шпола, 03226",+380 (43) 197-56-28,ierchenkovladyslav@example.org
Мірошниченко,Пилип,Михайлович,Чоловік,1953-05-21,Детектив,місто Харків,"проспект Сирітський 2-й, буд. 7, Балта, 81936",+380 44 800-58-42,dandreiko@example.org
Гаєвський,Аврелій,Богданович,Чоловік,1967-07-25,М'ясник,хутір Миколаїв,"сквер Басейний 4-й, буд. 9 кв. 2, Дніпро , 52931",+380 (50) 328-93-90,spas53@example.org
Ґжицький,Лесь,Богданович,Чоловік,2002-08-02,Продюсер,хутір Біла Церква,"узвіз Асташкіна, буд. 6, Славута, 08306",294-71-16,tetianarebryk@example.org
Дробʼязко,Онисим,Михайлович,Чоловік,1984-09-03,Фермер,хутір Тлумач,"площа Думська, буд. 393 кв. 496, Рудки, 70084",+380 75 934-96-75,chalenkodemian@example.com
Аверченко,Валентин,Андрійович,Чоловік,1954-05-30,Електрослюсар,місто Березне,"провулок Сєченова, буд. 73, Охтирка, 90642",088 113-33-90,oleh87@example.net
Забашта,Галина,Іванівна,Жінка,1962-04-03,Скульптор,хутір Новий Буг,"шосе Водний, буд. 5, Хоростків, 96424",296-94-95,halyna62@example.com
Рябець,Василь,Богданович,Чоловік,1957-02-02,Машиніст,місто Шепетівка,"шосе Магнітогорська, буд. 6 кв. 12, Сколе, 24096",+380 (75) 235-67-01,cfastenko@example.net
Ящук,Зорян,Андрійович,Чоловік,1939-10-29,Нотаріус,село Василівка ,"набережна Демократична, буд. 6, Вуглегірськ, 19146",+380 22 841 24 88,bohdannazasukha@example.com
Бабко,Адам,Сергійович,Чоловік,1977-04-30,Кіноактор,місто Новодружеськ,"сквер Іванівський переїзд, буд. 90 кв. 76, Сватове, 59305",006 435 17 49,nataliia67@example.com
Захаренко,Роксолана,Юріївна,Жінка,1950-07-06,Кінорежисер,хутір Зеленодольськ,"провулок Шептицікого, буд. 8, Яготин, 24042",+380 15 223-09-19,iiakymchuk@example.com
Кабалюк,Єфрем,Петрович,Чоловік,1990-08-26,Підприємець,хутір Краматорськ,"проспект Пересипська 2-га, буд. 09, Краматорськ, 27210",+380 09 696 75 33,mazepaokhrim@example.com
Фаренюк,Семен,Іванович,Чоловік,1988-07-03,Петрограф,селище Ічня,"вулиця Москвіна, буд. 9 кв. 18, Олешки, 76201",+380 (24) 516-20-36,stanislavshchyrytsia@example.org
Медведенко,Пармен,Петрович,Чоловік,2000-01-24,Епідеміолог,селище Подільськ,"площа Академіка Вавилова, буд. 34 кв. 974, Старий Крим, 85592",087 686-76-95,trokhymdeisun@example.net
Рябошапка,Ада,Андріївна,Жінка,1946-08-22,Редактор,селище Шпола,"проспект 8-ма Суворовська, буд. 429, Пустомити, 34515",+380 40 896-54-06,uteslia@example.com
Чуйко,Захар,Андрійович,Чоловік,1944-05-27,Кушнір,хутір Південне ,"шосе Восьмого березня 6-й, буд. 80 кв. 7, Міусинськ, 35275",+380 (16) 943-01-38,mykolaiievtushok@example.com
Хорішко,Пріска,Юріївна,Жінка,1980-10-25,Електротехнік,селище Петрово-Красносілля,"провулок Ватманський, буд. 76, Корець, 12579",+380 (23) 578-67-74,karpanataliia@example.com
Карась,Максим,Іванович,Чоловік,1992-12-09,Музикант,місто Новоград-Волинський,"парк Тимірязєва 5-й, буд. 924 кв. 1, Покровськ, 41563",+380 (41) 736-10-55,les59@example.com
Полтавець,Марта,Богданівна,Жінка,1982-04-26,Штукатур,село Мар'їнка,"узвіз Травневий 2-й, буд. 02, Рені, 16802",+380 86 723 45 85,vitaliigalagan@example.net
Гаврилець,Аніта,Іванівна,Жінка,1988-10-23,Диригент,село Судак ,"шосе Терещенка Володимира, буд. 380 кв. 17, Бровари, 27264",041 212-42-96,viacheslavzinkevych@example.net
Дараган,Станіслав,Миколайович,Чоловік,1950-06-18,Гірник,хутір Рудки,"площа Садова 2-га, буд. 78, Енергодар, 34805",+380 60 188-43-98,bohuslavazaporozhets@example.net
Гайдабура,Анжела,Миколаївна,Жінка,2003-12-03,Журналіст,хутір Татарбунари,"вулиця Оборони Ленінграду, буд. 75, Богуслав, 41214",098 405-00-01,rozaliia10@example.com
Приходько,Франц,Сергійович,Чоловік,1976-07-07,Юрист,місто Камінь-Каширський,"провулок Професора Каришковського, буд. 711 кв. 03, Енергодар, 45436",+380 73 910-54-91,ivanchenkoedyta@example.org
Ярема,Іван,Володимирович,Чоловік,1942-10-08,Стиліст,місто Моршин,"шосе Мазараті, буд. 67, Буринь, 25607",374 69 43,nestorhavrysh@example.net
Арсенич,Лукʼян,Сергійович,Чоловік,1973-08-04,Фрілансер,село Білопілля,"провулок Єлісаветинська, буд. 53 кв. 970, Привілля, 86398",+380 79 709 32 01,iukhym83@example.com
Аверченко,Вʼячеслав,Миколайович,Чоловік,1996-07-22,Правник,село Баранівка,"сквер П'ята, буд. 477 кв. 4, Середина-Буда, 46930",+380 29 943-96-03,bohodar89@example.org
Верховинець,Василь,Володимирович,Чоловік,1950-05-09,Дизайнер,селище Трускавець,"сквер Героїв Небесної Сотні, буд. 16, Новоград-Волинський, 54032",+380 07 406 76 95,zromanenko@example.net
Архимович,Ганна,Михайлівна,Жінка,1940-06-10,Електромонтер,селище Залізне,"проспект Восьмого березня узвіз, буд. 4, Вараш, 80411",+380 (05) 274-31-74,gabrahamovska@example.org
Симоненко,Оксана,Олександрівна,Жінка,1964-03-10,Юрист,місто Миколаїв,"сквер Київське, буд. 225 кв. 1, Овруч, 90046",+380 (74) 302-82-78,sirchenkoieva@example.org
Гаврилів,Данна,Андріївна,Жінка,2003-04-23,Музикант,місто Новий Калинів,"вулиця Іванова 1-й, буд. 3, Кипуче, 69166",+380 04 181-14-91,darynababych@example.net
Байдак,Мілена,Богданівна,Жінка,1956-04-10,Агроном,місто Кам'янське,"провулок Творча, буд. 5 кв. 534, Белз, 35728",067 48 75,arsenmykytiuk@example.org
Голобородько,Олекса,Михайлович,Чоловік,1981-07-18,Круп'є,село Маріуполь,"шосе Рачкова, буд. 72, Рогатин, 76969",324 10 13,iarema76@example.org
Ґерета,Варфоломій,Михайлович,Чоловік,2007-10-26,Інженер,місто Христинівка,"узвіз Закарпатська, буд. 45, Василівка , 98547",063 285-24-70,demianchervonenko@example.org
Скорик,Ярослава,Сергіївна,Жінка,1950-07-26,Кушнір,село Рудки,"парк Мусіна, буд. 21 кв. 4, Бахмут, 97501",244 84 64,tetianaatroshchenko@example.org
Затула,Дарина,Богданівна,Жінка,1972-07-03,Медик,село Снятин,"провулок Суперфосфатна, буд. 156, Дрогобич, 19726",598 81 53,knazarenko@example.net
Власюк,Тетяна,Миколаївна,Жінка,1947-07-12,Географ,хутір Семенівка,"парк 5-та Лінія Марії Демченко, буд. 3, Сімферополь, 64445",+380 24 230-74-09,oiemets@example.com
Кибкало,Варфоломій,Сергійович,Чоловік,1972-02-19,Гірник,хутір Горішні Плавні,"шосе Соляний 5-й, буд. 5 кв. 540, Яготин, 58659",+380 61 487-46-23,ciashchuk@example.org
Павличенко,Геннадій,Петрович,Чоловік,1972-03-22,Економіст,селище Волочиськ,"узвіз Західний 2-й, буд. 052, Торецьк, 03677",777-09-09,vasyl39@example.com
Онищенко,Гордій,Богданович,Чоловік,1946-03-31,Дипломат,хутір Ананьїв,"проспект Левітана, буд. 0, Конотоп, 31675",+380 (58) 335-47-89,viterkostiantyn@example.com
Гузенко,Орина,Володимирівна,Жінка,1957-04-19,Астрофізик,хутір Мирноград,"шосе Оборони Ленінграду, буд. 649 кв. 4, Горохів, 14482",009 462-65-65,havrylo25@example.com
Худобʼяк,Андрій,Олександрович,Чоловік,1972-05-28,Географ,село Новгород-Сіверський,"провулок Фонтанська дорога, буд. 3, Городище , 99411",296-58-44,danylotereshchenko@example.org
Дубас,Камілла,Андріївна,Жінка,1960-09-22,Співак,хутір Дрогобич,"набережна Супутників, буд. 36, Самбір, 53421",094 822-63-30,ustym58@example.net
Медведенко,Василь,Володимирович,Чоловік,1942-05-07,Композитор,хутір Ізяслав,"проспект Олександрівський, буд. 39, Ялта, 75635",+380 (19) 487-84-06,babakmykolai@example.org
Гайдай,Владислав,Олександрович,Чоловік,1959-08-28,Флорист,хутір Залізне,"парк Південна, буд. 99 кв. 29, Попасна, 36475",308 46 74,arkhypenkomykhailyna@example.net
Абрагамовський,Аврелій,Олександрович,Чоловік,1967-06-11,Географ,село Добромиль,"сквер Балківська, буд. 1, Світлодарськ, 34373",+380 89 849-28-29,olena28@example.org
Аронець,Богуслава,Володимирівна,Жінка,1973-11-14,Футболіст,село Тисмениця,"шосе Лейтенанта Шмідта, буд. 125, Васильків, 15201",061 165-81-04,bohdanliashko@example.net
Бевзенко,Емілія,Богданівна,Жінка,1949-04-18,Водій,хутір Овруч,"набережна Вершинна, буд. 797, Радивилів, 51401",076 115 84 47,mykolai03@example.org
Охріменко,Валентина,Богданівна,Жінка,1942-11-28,Мінералог,село Пустомити,"узвіз Таїрова, буд. 728 кв. 630, Золоте, 05707",477-68-73,eduard36@example.org
Цюцюра,Ростислав,Олександрович,Чоловік,1995-10-08,Флорист,хутір Кагарлик,"узвіз ім. К.Г. Паустовського, буд. 359, Комарно, 54939",290 51 21,rzinchenko@example.com
Гузь,Святослава,Володимирівна,Жінка,1972-07-25,Літературознавець,село Бобринець,"парк Слов'янська, буд. 279, Великі Мости, 21141",+380 (93) 177-26-30,wfareniuk@example.org
Тимченко,Анастасія,Михайлівна,Жінка,1956-04-07,Клавішник,місто Білопілля,"провулок Лейтенанта Шмідта, буд. 4, Покров, 80578",+380 (58) 787-77-65,uiaremkiv@example.net
Зінкевич,Валентин,Петрович,Чоловік,1973-04-26,Медик,місто Генічеськ,"провулок Азербайджан, буд. 2 кв. 2, Черкаси, 77346",+380 08 818-02-06,nprymachenko@example.org
Єрошенко,Василина,Олександрівна,Жінка,1999-12-18,Машиніст,селище Городенка,"вулиця Артилерійський 2-й, буд. 918 кв. 07, Ватутіне, 41977",+380 84 030-96-76,ieshchenkonataliia@example.net
Бандурка,Єлисавета,Юріївна,Жінка,1991-10-13,Стиліст,селище Пирятин,"узвіз Кишинівська, буд. 553 кв. 6, Зимогір'я, 73930",+380 41 445-87-86,nosachenkopavlo@example.net
Перепелиця,Макар,Андрійович,Чоловік,1980-10-13,Астронавт,село Первомайськ,"площа Пляжна, буд. 5 кв. 913, Васильків, 82914",+380 91 034-78-39,nhaidai@example.com
Москаль,Макар,Юрійович,Чоловік,1989-09-05,Географ,хутір Вознесенськ,"набережна Білоруська, буд. 074, Горлівка, 99143",+380 (42) 582-15-25,charnysherika@example.com
Ґалаґан,Юхим,Михайлович,Чоловік,1988-09-20,Ювелір,хутір Корець,"набережна Солонцюватий 1-й, буд. 68 кв. 4, Дніпрорудне, 07742",004 662 41 14,zlatoslava57@example.org
Данчук,Марко,Миколайович,Чоловік,1994-02-20,Фрілансер,село Білгород-Дністровський,"шосе Каретний, буд. 07 кв. 45, Дебальцеве, 10423",+380 38 819 50 52,saliihalyna@example.org
Ющенко,Омелян,Олександрович,Чоловік,1974-11-24,Єгер,село Тернопіль,"вулиця Лінійний, буд. 9, Бар, 22791",+380 67 872 45 27,andrii78@example.net
